talker	recording	task	condition	SFP.chinese	SFP.jyutping	SFP.ipa	F0.hz	duration.ms	mean.F0.utterance	mean.syll.duration.ms
s124	s124ali	ali	ADS	囉	lo1	lɔ	235.35	39.99999999999204	195.6918981	132.50000000000028
s124	s124ali	ali	ADS	囉	lo1	lɔ	221.71	160.000000000025	195.73046783333334	272.50000000000796
s124	s124ali	ali	ADS	囉	lo1	lɔ	178.21	121.00000000003774	191.35420022	355.24999999999807
s124	s124ali	ali	ADS	囉	lo1	lɔ	115.7	43.00000000000637	169.80138444285714	440.7499999999942
s124	s124ali	ali	ADS	喎	wo3	wɔ	NA	37.00000000003456	NA	369.2500000000081
s124	s124ali	ali	ADS	囉	lo1	lɔ	157.76	50.99999999998772	212.08687856666666	692.7500000000038
s124	s124ali	ali	ADS	囉	lo1	lɔ	142.44	136.0000000000241	178.00376821	531.5000000000083
s124	s124ali	ali	ADS	囉	lo1	lɔ	184.34	152.00000000004366	223.8824528	343.0000000000035
s124	s124ali	ali	ADS	囉	lo1	lɔ	186.51	86.99999999998909	198.98720366	301.7499999999984
s124	s124ali	ali	ADS	喎	wo3	wɔ	136.66	34.99999999996817	202.55761608	456.24999999999716
s124	s124ali	ali	ADS	囉	lo1	lɔ	209.12	106.9999999999709	214.5520299	379.249999999999
s124	s124ali	ali	ADS	囉	lo1	lɔ	194.76	36.99999999997772	181.22406135714286	636.7500000000064
s124	s124ali	ali	ADS	囉	lo1	lɔ	NA	39.00000000004411	NA	587.2500000000116
s124	s124ali	ali	ADS	囉	lo1	lɔ	184.9	74.00000000001228	222.72741636	298.5000000000042
s124	s124ali	ali	ADS	囉	lo1	lɔ	277.56	142.99999999997226	235.04710835	183.25000000000102
s124	s124ali	ali	ADS	囉	lo1	lɔ	160.12	85.09299999997211	172.30262216666668	86.27343749999739
s124	s124ali	ali	ADS	囉	lo1	lɔ	166.64	44.00000000003956	155.21935	371.0000000000093
s124	s124ali	ali	ADS	囉	lo1	lɔ	248.38	74.99999999998863	225.8637784	136.25000000000398
s124	s124ali	ali	ADS	囉	lo1	lɔ	282.13	100.99999999999909	208.7339229	145.2499999999901
s124	s124ali	ali	ADS	囉	lo1	lɔ	167.22	71.00000000002638	187.50980905	295.25000000001
s124	s124ali	ali	ADS	囉	lo1	lɔ	174.42	40.99999999993997	191.30427546666667	237.75000000000546
s124	s124ali	ali	ADS	囉	lo1	lɔ	168.29	233.00000000006094	167.151787375	340.7500000000141
s124	s124ali	ali	ADS	囉	lo1	lɔ	296.32	101.99999999997544	274.36721836666663	160.49999999998477
s124	s124ali	ali	ADS	囉	lo1	lɔ	193.01	82.99999999996999	213.67480254999998	233.24999999999818
s124	s124ali	ali	ADS	喎	wo3	wɔ	134.13	78.00000000008822	141.17079605	217.00000000001296
s124	s124ali	ali	ADS	囉	lo1	lɔ	200	43.99999999998272	221.78369465	411.00000000000136
s124	s124ali	ali	ADS	囉	lo1	lɔ	NA	43.00000000000637	NA	548.2499999999959
s124	s124ali	ali	ADS	喎	wo3	wɔ	NA	57.999999999992724	175.8605526	219.5000000000107
s124	s124ali	ali	ADS	喎	wo3	wɔ	214.42	165.0000000000773	215.8081027	196.25000000002046
s124	s124ali	ali	ADS	囉	lo1	lɔ	188.87	75.00000000004547	NA	266.25000000001364
s124	s124ali	ali	ADS	囉	lo1	lɔ	NA	42.00000000003001	NA	108.00000000000409
s124	s124ali	ali	ADS	囉	lo1	lɔ	160.61	68.99999999995998	189.4664784	469.7500000000048
